start_lat,start_lon,end_lat,end_lon,airport1,airport2,delayRate
32.89865,-80.04051,38.85208,-77.03772,CHS,DCA,0.2641509433962264
36.12448,-86.67818,32.89595,-97.03720,BNA,DFW,0.18340611353711792
32.73356,-117.18966,47.44898,-122.30931,SAN,SEA,0.10873440285204991
29.98047,-95.33972,30.12610,-93.22340,IAH,LCH,0.11764705882352941
41.97960,-87.90446,18.43942,-66.00183,ORD,SJU,0.2931937172774869
42.21206,-83.34884,40.78839,-111.97777,DTW,SLC,0.15510204081632653
44.88055,-93.21692,37.36186,-121.92901,MSP,SJC,0.07272727272727272
25.79325,-80.29056,47.44898,-122.30931,MIA,SEA,0.17142857142857143
31.32737,-92.54856,32.89595,-97.03720,AEX,DFW,0.22282608695652173
33.64044,-84.42694,43.64617,-70.30875,ATL,PWM,0.14
37.61900,-122.37484,40.78839,-111.97777,SFO,SLC,0.25508317929759705
29.98047,-95.33972,38.74769,-90.35999,IAH,STL,0.18032786885245902
39.85841,-104.66700,37.36186,-121.92901,DEN,SJC,0.18688524590163935
33.64044,-84.42694,42.23488,-85.55206,ATL,AZO,0.3333333333333333
39.85841,-104.66700,46.60682,-111.98275,DEN,HLN,0.1896551724137931
39.85841,-104.66700,39.49858,-119.76806,DEN,RNO,0.16666666666666666
35.21401,-80.94313,47.44898,-122.30931,CLT,SEA,0.28
39.04614,-84.66217,33.43417,-112.00806,CVG,PHX,0.18518518518518517
39.29761,-94.71391,45.58872,-122.59750,MCI,PDX,0.14516129032258066
42.94722,-87.89658,38.74769,-90.35999,MKE,STL,0.1650485436893204
41.78598,-87.75242,37.72129,-122.22072,MDW,OAK,0.19834710743801653
34.64045,-86.77311,41.97960,-87.90446,HSV,ORD,0.40625
36.12448,-86.67818,40.27669,-74.81347,BNA,TTN,0.5
58.35496,-134.57628,55.35557,-131.71374,JNU,KTN,0.1864406779661017
46.39786,-94.13723,44.88055,-93.21692,BRD,MSP,0.12871287128712872
21.31869,-157.92241,37.61900,-122.37484,HNL,SFO,0.17940199335548174
